Timestamp,Exchange,Pair,Bid,Ask,Last,Spread,Volume,Change,PricePerUSD
2025-08-06T00:00:26.753Z,RAPIRA,USDT/RUB,80.95625188104884,80.98,,0.0293345089469495,,,
2025-08-06T00:00:27.481Z,GRINEX,USDT/RUB,80.78,81.01,,0.2847239415697004,,,
2025-08-06T00:00:28.203Z,GRINEX,USDT/A7A5,80.739086846,80.97,,0.285999214284441,,,
2025-08-06T00:00:28.739Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-06T00:00:28.935Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-06T00:00:29.131Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-06T00:00:29.328Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-06T00:00:56.724Z,RAPIRA,USDT/RUB,80.95625188104884,80.98,,0.0293345089469495,,,
2025-08-06T00:00:57.450Z,GRINEX,USDT/RUB,80.78,81.01,,0.2847239415697004,,,
2025-08-06T00:00:58.174Z,GRINEX,USDT/A7A5,80.739086846,80.97,,0.285999214284441,,,
2025-08-06T00:00:58.727Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-06T00:00:58.918Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-06T00:00:59.113Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-06T00:00:59.476Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-06T00:01:26.759Z,RAPIRA,USDT/RUB,80.95625188104884,80.98,,0.0293345089469495,,,
2025-08-06T00:01:27.441Z,GRINEX,USDT/RUB,80.78,81.01,,0.2847239415697004,,,
2025-08-06T00:01:28.143Z,GRINEX,USDT/A7A5,80.739086846,80.97,,0.285999214284441,,,
2025-08-06T00:01:28.860Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-06T00:01:29.053Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
